등록번호,서명,저자,발행처,발행연도,서고,청구기호
E566465,갑작스러운 이별로 가족들이 떠맡을 당신의 잡동사니를 미리 정리하는 기술,"Condo, Messie",봄름,2026,사회자연과학자료실(2층),591 C746nKㅅ
E566466,"같이 읽어요, 오늘도",책여사,현대지성,2026,인문과학자료실(3층),029.8 책64ㄱ
E566467,경계에 서는 법,차병직,김영사,2026,사회자연과학자료실(2층),360.1 차44ㄱ
E566468,경영경제수학 강의,박광태,교문사,2026,사회자연과학자료실(2층),320.015 박14ㄱ
E566469,고대 이집트의 밤하늘,유성환,휴머니스트,2026,사회자연과학자료실(2층),440.9 유54ㄱ
E566470,과학하는 인간의 태도,김동규,쌤앤파커스,2026,사회자연과학자료실(2층),404 R873nKㄱ
E566471,교육은 유전을 이길 수 있는가,안도 주코,알레,2026,커뮤니티라운지(1층-인기도서),476.1 안26ㄱKㅎ
E566472,교육행정 및 교육경영,한유경,학지사,2026,사회자연과학자료실(2층),371 교66
E566473,구멍 난 세계,김지웅,책과나무,2025,인문과학자료실(3층),813.7 김78ㄱ
E566474,국가가 작동하는 순간,강건작,클라우드나인,2026,사회자연과학자료실(2층),350.83 강13ㄱ
E566475,글이 안 써지세요? 저도요,정지음,오리지널스,2026,인문과학자료실(3층),802 정78ㄱ
E566476,기술이 바꾼 일상의 역사,연유진,날,2026,사회자연과학자료실(2층),509 연66ㄱ
E566477,(꼬리에 꼬리를 무는)독성 물질 이야기,목정민,주니어태학,2026,사회자연과학자료실(2층),513.93 목74ㄷ
E566478,끝까지 해내는 마음은 어떻게 탄생하는가,"Heddy, Benjamin C",현대지성,2026,커뮤니티라운지(1층-인기도서),189.1 H452mKㅈ
E566479,나는 갈 곳이 없었다,"Mekas, Jonas",열화당,2026,인문과학자료실(3층),846 M516iKㄱ
E566480,내 생의 가장 아름다운 완성,안종수,사유와공감,2025,사회자연과학자료실(2층),331.236 내53
E566481,내 안의 기적을 깨워라!,김기연,책과나무,2026,사회자연과학자료실(2층),512.51 김17ㄴ
E566482,내 집에서 나이 들 수 있을까,박한슬,더퀘스트,2026,사회자연과학자료실(2층),591.9 박92ㄴ
E566483,내면 근력,"Murphy, Jim",윌북,2026,커뮤니티라운지(1층-인기도서),199.1 M978iKㅈ
E566484,늙지 않는 몸,이한음,다산북스,2026,사회자연과학자료실(2층),511.1689 T675sKㅇ
E566485,다정한 어른이 된다는 것,온벼리,더케이북스,2026,인문과학자료실(3층),818 온44ㄷ
